country;country_code;digital_nomads_count;wework_count;digital_nomads_ratio;wework_ratio;coworking_potential
United States;US;1137;85.0;7.94;20.58;-12.64
Thailand;TH;947;3.0;6.62;0.73;5.89
Spain;ES;731;9.0;5.11;2.18;2.93
Germany;DE;643;13.0;4.49;3.15;1.34
United Kingdom;GB;600;31.0;4.19;7.51;-3.32
Indonesia;ID;590;3.0;4.12;0.73;3.39
France;FR;506;7.0;3.53;1.69;1.84
Portugal;PT;413;1.0;2.89;0.24;2.65
Netherlands;NL;411;4.0;2.87;0.97;1.9
Vietnam;VN;398;2.0;2.78;0.48;2.3
Italy;IT;394;4.0;2.75;0.97;1.78
China;CN;393;76.0;2.75;18.4;-15.65
Malaysia;MY;387;2.0;2.7;0.48;2.22
Japan;JP;378;38.0;2.64;9.2;-6.56
Mexico;MX;349;8.0;2.44;1.94;0.5
Singapore;SG;333;13.0;2.33;3.15;-0.82
Canada;CA;313;16.0;2.19;3.87;-1.68
Australia;AU;299;15.0;2.09;3.63;-1.54
Hungary;HU;290;0.0;2.03;0.0;2.03
Colombia;CO;248;11.0;1.73;2.66;-0.93
Czechia;CZ;217;1.0;1.52;0.24;1.28
Croatia;HR;204;0.0;1.43;0.0;1.43
Austria;AT;201;0.0;1.4;0.0;1.4
Cambodia;KH;195;0.0;1.36;0.0;1.36
South Korea;KR;188;18.0;1.31;4.36;-3.05
Greece;GR;185;0.0;1.29;0.0;1.29
Argentina;AR;180;4.0;1.26;0.97;0.29
Switzerland;CH;174;0.0;1.22;0.0;1.22
Brazil;BR;173;6.0;1.21;1.45;-0.24
Taiwan;TW;170;1.0;1.19;0.24;0.95
Sweden;SE;166;1.0;1.16;0.24;0.92
India;IN;165;21.0;1.15;5.08;-3.93
Philippines;PH;163;3.0;1.14;0.73;0.41
Poland;PL;159;5.0;1.11;1.21;-0.1
New Zealand;NZ;157;0.0;1.1;0.0;1.1
Denmark;DK;157;0.0;1.1;0.0;1.1
Ireland;IE;154;4.0;1.08;0.97;0.11
Turkey;TR;148;0.0;1.03;0.0;1.03
Belgium;BE;147;1.0;1.03;0.24;0.79
Morocco;MA;137;0.0;0.96;0.0;0.96
Peru;PE;137;0.0;0.96;0.0;0.96
United Arab Emirates;AE;125;2.0;0.87;0.48;0.39
Serbia;RS;116;0.0;0.81;0.0;0.81
South Africa;ZA;113;3.0;0.79;0.73;0.06
Costa Rica;CR;111;2.0;0.78;0.48;0.3
Chile;CL;108;0.0;0.75;0.0;0.75
Norway;NO;105;0.0;0.73;0.0;0.73
Russia;RU;104;0.0;0.73;0.0;0.73
Romania;RO;100;0.0;0.7;0.0;0.7
Bulgaria;BG;96;0.0;0.67;0.0;0.67
